title,time,author,push_num,link
Re: [請益] 股票投資跟賭博如何界定,10/27,jeffguoft,10,https://www.ptt.cc/bbs/Stock/M.1698374447.A.CDB.html
[新聞] 台灣特斯拉突襲式降價六萬釀暴動 提早交,10/27,lulu1305174,爆,https://www.ptt.cc/bbs/Stock/M.1698374536.A.582.html
[標的] 8040 九暘神功多,10/27,uzgo,13,https://www.ptt.cc/bbs/Stock/M.1698374568.A.EEC.html
Re: [新聞] 資本撤出中國速度前所未有 大摩：不要抄,10/27,Carr77,40,https://www.ptt.cc/bbs/Stock/M.1698375734.A.829.html
[請益] 為什麼現在沒人討論金磚四國了,10/27,z010529,74,https://www.ptt.cc/bbs/Stock/M.1698376154.A.7CA.html
Re: [請益] 股票投資跟賭博如何界定,10/27,inewigkeit,14,https://www.ptt.cc/bbs/Stock/M.1698380251.A.6EF.html
Re: [請益] 股票投資跟賭博如何界定,10/27,callme5f,11,https://www.ptt.cc/bbs/Stock/M.1698381092.A.CD8.html
[新聞] 林本堅：美國難擋中國晶片進展,10/27,KotoriCute,54,https://www.ptt.cc/bbs/Stock/M.1698383491.A.ABA.html
Re: [請益] 股票投資跟賭博如何界定,10/27,waitrop,14,https://www.ptt.cc/bbs/Stock/M.1698384039.A.0A5.html
Re: [新聞] 新招！宏達電推《林襄沉浸式寫真》群眾集資計畫,10/27,bms,9,https://www.ptt.cc/bbs/Stock/M.1698385062.A.8A3.html
[情報] 3105穩懋 Q3 0.08,10/27,DrowningPool,56,https://www.ptt.cc/bbs/Stock/M.1698386370.A.881.html
[情報] 2344 華邦電 現金增資公開申購資訊,10/27,ej03xu3,20,https://www.ptt.cc/bbs/Stock/M.1698387088.A.8B3.html
[請益] 請教，因為目前不再寬鬆貨幣，關於美股,10/27,pennyleo,11,https://www.ptt.cc/bbs/Stock/M.1698387245.A.FE6.html
Re: [新聞] 新招！宏達電推《林襄沉浸式寫真》群眾集資計畫,10/27,dahlia7357,24,https://www.ptt.cc/bbs/Stock/M.1698387512.A.8A7.html
[新聞] 赫茲租賃車隊電動化計畫踩剎車,10/27,H2,6,https://www.ptt.cc/bbs/Stock/M.1698387884.A.20F.html
[標的] 2449京元電遮眼多,10/27,james0326123,28,https://www.ptt.cc/bbs/Stock/M.1698388289.A.567.html
[情報] 1027 上市投信買賣超排行,10/27,saber50116,34,https://www.ptt.cc/bbs/Stock/M.1698389466.A.63C.html
[新聞] 台股量縮上漲60點收復16100點 週線連2黑,10/27,nk11208z,13,https://www.ptt.cc/bbs/Stock/M.1698389782.A.57A.html
[情報] 1026 上市櫃外資投信買超金額排行,10/26,steveisaman,3,https://www.ptt.cc/bbs/Stock/M.1698322992.A.871.html
[情報] 1026 上市櫃外資投信同買排行,10/26,steveisaman,4,https://www.ptt.cc/bbs/Stock/M.1698323735.A.4D1.html
[標的] 6527明達醫,10/26,weeiio,6,https://www.ptt.cc/bbs/Stock/M.1698325332.A.4CF.html
[新聞] 美國第三季GDP初值報4.9% 高於預期,10/26,AnneofGreen,62,https://www.ptt.cc/bbs/Stock/M.1698326222.A.42A.html
[情報] 112年10月26日信用交易統計,10/26,steward135,37,https://www.ptt.cc/bbs/Stock/M.1698327197.A.3CD.html
[新聞] 美國房貸利率飆高至7.9％ 創23年新高,10/26,yipi1357,98,https://www.ptt.cc/bbs/Stock/M.1698328157.A.E32.html
[請益] 想請問關於公司間重要技術轉移的事宜,10/26,pennyleo,5,https://www.ptt.cc/bbs/Stock/M.1698328517.A.571.html
[新聞] 罷工40天後 福特與UAW工會達成協議未來4,10/26,z520314,42,https://www.ptt.cc/bbs/Stock/M.1698334359.A.0B5.html
[新聞] 資本撤出中國速度前所未有 大摩：不要抄,10/27,qwe22992168,88,https://www.ptt.cc/bbs/Stock/M.1698336385.A.A14.html
Re: [標的]3715定穎投控小心空,10/27,Ligamenta,24,https://www.ptt.cc/bbs/Stock/M.1698336678.A.129.html
Re: [標的] 2330 台積電 準備五線翻揚大多特多,10/27,kace111512,31,https://www.ptt.cc/bbs/Stock/M.1698338588.A.F21.html
[標的] 美國航空股 DAL.US LUV.US UAL.US AAL.US,10/27,TS28,16,https://www.ptt.cc/bbs/Stock/M.1698342827.A.8C8.html
[新聞] 內線交易借券放空鴻海套利？黃天牧：若有,10/27,DDDDRR,29,https://www.ptt.cc/bbs/Stock/M.1698364556.A.B87.html
[請益] 股票投資跟賭博如何界定,10/27,cake51640,67,https://www.ptt.cc/bbs/Stock/M.1698365901.A.9AD.html
Re: [請益] 想請問關於公司間重要技術轉移的事宜,10/27,deann,0,https://www.ptt.cc/bbs/Stock/M.1698366273.A.4B1.html
[新聞] 新招！宏達電推《林襄沉浸式寫真》群眾集資計畫,10/27,nodnarb1027,98,https://www.ptt.cc/bbs/Stock/M.1698367549.A.1DC.html
[心得] 投資投機跟賭博簡單區別,10/27,nissan168,34,https://www.ptt.cc/bbs/Stock/M.1698371693.A.1EA.html
Re: [新聞] 資本撤出中國速度前所未有 大摩：不要抄,10/27,win8719,6,https://www.ptt.cc/bbs/Stock/M.1698373038.A.1DA.html
[標的] 4552 力達-KY 估值不算貴的電機產業,10/27,roxiang,13,https://www.ptt.cc/bbs/Stock/M.1698373067.A.340.html
